Employee_ID,First_Name,Last_Name,Age,Gender,Company,Department,Job_Title,Experience_Years,Salary,Joining_Date,Location,Performance_Rating,Work_from_Home,Education_Level,Programming_Languages,Project_Count,Certifications_Count,Leaves_Taken,Last_Promotion_Year,Bonus,Stock_Options,Hours_Worked_Per_Week,Client_Interactions_Per_Month,Manager_ID,Team_Size,Marital_Status,Email,Phone_Number,Employee_Type,Previous_Company,Skill_Level,Onsite_Opportunities,Remote_Work_Preference,Last_Appraisal_Score,Company_Branding_Score,Employee_Satisfaction_Score,Resigned,Company_Revenue,Company_Profit_Margin,Company_Size,Stock_Performance,CSR_Ranking,Employee_Turnover_Rate,Avg_Tenure,Attrition_Rate,Company_Growth_Score,Work_Life_Balance_Score,Diversity_Index,Innovation_Index
cfeed094-55b7-4645-a58c-3c0803193206,James,Reese,28,Female,AWS,Marketing,Financial Analyst,9,78124,2016-05-13,East Jamie,4,No,Master,JavaScript,8,9,30,Never,13321,45,56,43,2945,16,Single,james.reese@aws.com,041.907.1077x395,Contract,Google,Beginner,No,Yes,63,89,4,Yes,935760266,14.37,340361,Stable,55,11.89,5.97,26.78,83,4,0.24,0.44
53556f80-b0f9-429e-b347-6b730e72d2be,Lisa,Baker,57,Other,Microsoft,Marketing,Software Engineer,30,181337,2019-09-07,Sarahville,1,Yes,PhD,C++,19,6,8,1977,19866,29,30,8,1083,39,Widowed,lisa.baker@aws.com,001-963-914-0532x015,Contract,TCS,Intermediate,No,No,98,74,3,Yes,467581138,13.82,333119,Stable,87,8.12,12.85,14.45,79,1,0.39,0.11
a08d6027-af96-429e-ae00-1e92763a3810,Rebecca,Willis,22,Female,Microsoft,Finance,Data Scientist,35,235477,2022-06-24,Kimberlyside,2,Yes,Bachelor,C++,9,7,24,Never,3095,6,48,33,4383,27,Divorced,rebecca.willis@ibm.com,058-137-9415x74322,Contract,TCS,Expert,No,Yes,74,97,4,No,156751414,38.76,498549,Up,33,15.96,6.86,29.26,68,7,0.41,0.88
31f12c13-7d3a-4974-9c23-34a77fbf658c,Elizabeth,Hopkins,41,Male,TCS,Sales,HR Manager,4,133972,2015-07-27,Oconnorville,1,Yes,Bachelor,Ruby,10,3,9,1995,2589,9,58,7,3024,15,Widowed,elizabeth.hopkins@aws.com,(171)629-9519x89721,Intern,AWS,Expert,No,No,51,86,3,No,426700141,35.89,295405,Up,78,36.47,12.22,24.56,76,2,0.76,0.61
056b4d0d-e839-49dc-89d8-24ee6e5fb009,Amanda,Cole,49,Other,Google,Sales,Data Scientist,0,184178,2022-07-19,Andersenview,4,No,Bachelor,Python,6,7,30,1974,4605,49,60,43,7519,4,Divorced,amanda.cole@google.com,9604698017,Intern,Microsoft,Intermediate,Yes,No,84,52,1,Yes,955964180,9.1,402658,Stable,2,5.26,5.87,28.92,97,8,0.15,0.74
6290e920-902c-4549-b84b-aacbd6a421fb,Jaime,Woodard,27,Male,Google,Sales,Data Scientist,3,173123,2023-07-15,Crystalburgh,2,No,PhD,C++,1,10,29,2004,15463,70,30,41,1485,15,Widowed,jaime.woodard@ibm.com,001.282.4378x123,Intern,IBM,Beginner,No,Yes,95,98,6,Yes,191883009,44.88,77320,Down,79,28.76,8.58,31.07,62,5,0.13,0.01
984e72bd-993b-43aa-a264-64dc9b15c7d9,Jennifer,Taylor,44,Female,Microsoft,HR,Data Scientist,28,186232,2022-01-20,Amyton,1,Yes,Bachelor,Java,13,2,18,Never,47482,27,50,18,3057,14,Widowed,jennifer.taylor@google.com,(318)811-3412x442,Full-Time,IBM,Expert,No,Yes,56,85,1,No,646455562,17.96,302370,Up,100,10.46,8.11,28.2,91,7,0.24,0.09
39b0d6f1-c876-4fd7-ba08-fb7ae3bffc9f,Luke,Mcclain,25,Male,AWS,Finance,Software Engineer,15,33428,2022-01-12,South Steveland,1,Yes,Bachelor,Python,14,1,29,2020,31618,90,53,15,6326,6,Married,luke.mcclain@tcs.com,+1-116-447-5929x364,Full-Time,IBM,Expert,No,No,54,59,1,No,528733453,33.72,445286,Down,16,8.5,5.64,33.34,95,4,0.32,0.44
e784be1b-8f81-43df-8b33-6141071ad772,Rebecca,Martinez,22,Male,Microsoft,Operations,Software Engineer,0,167793,2020-09-12,New Heather,5,No,PhD,Ruby,4,4,19,Never,30782,100,54,12,6023,8,Divorced,rebecca.martinez@tcs.com,2118190587,Intern,AWS,Intermediate,No,Yes,85,92,10,Yes,338813560,15.63,415366,Stable,62,12.3,9.43,8.69,96,5,0.49,0.04
f6d2124d-308a-4359-8b72-a2ab52d38b32,Marisa,Miller,59,Other,TCS,HR,Financial Analyst,8,212499,2021-11-06,Richardfort,4,No,Master,C++,15,10,1,1987,8228,90,36,41,1193,29,Married,marisa.miller@tcs.com,(639)600-8953x7566,Full-Time,Microsoft,Intermediate,No,Yes,50,53,4,Yes,233785845,13.95,167906,Up,46,12.97,6.14,24.26,57,10,0.34,0.95
